Timestamp,What is your current level of education? ,What is your role? ,Which department do you belong to?,How many years of experience do you have with programming? ,How experienced are you in working with databases? ,Which of the following query languages have you worked with? ,How experienced are you in working with Geographic Information Systems (GIS)? ,I think that I would like to use this system frequently. ,I found the system unnecessarily complex. ,I thought the system was easy to use. ,I think that I would need the support of a technical person to be able to use this system. ,I found the various functions in this system were well integrated. ,I thought there was too much inconsistency in this system. ,I would imagine that most people would learn to use this system very quickly. ,I found the system very cumbersome to use. ,I felt very confident using the system. ,I needed to learn a lot of things before I could get going with this system. ,How confident are you in completing Task 1 using the Prototype?,How confident are you in completing Task 1 without using the Prototype?,How confident are you in completing Task 2 using the Prototype?,How confident are you in completing Task 2 without using the Prototype?,How confident are you in completing Task 3 using the Prototype?,How confident are you in completing Task 3 without using the Prototype?,Which problems did you encounter when working with the prototype? ,Were there any features you felt were missing? ,SUS Score
2025/01/08 11:31:51 pm CET,Bachelor's or equivalent,Student,Mathematics and Computer Science,8,3,SQL;Mongo Query Language;Cypher,2,4,1,5,2,4,2,5,2,4,2,,5,2,5,3,1,Map with a lot of points was very slow,There should be a legend so you know what the colors mean,82.5
2025/01/09 10:00:58 am CET,Master's or equivalent,Student,Mathematics and Computer Science,14,5,SQL;Mongo Query Language;Cypher,2,3,3,5,1,3,3,4,4,4,1,5.0,2,5,2,3,5,,"No legend for how gradient colors correspond to values, no way to change gradient colors",67.5
2025/01/09 12:05:30 pm CET,Bachelor's or equivalent,Student,Mathematics and Computer Science,5,2,SQL,1,5,1,5,1,5,1,3,1,5,1,5.0,1,5,5,5,2,No problems at all. Finding the correct buttons to click on for the first time was the biggest hurdle.,"For the Color Gradient option, you might add a warning when a non-existent variable is selected or provide a clickable dropdown menu to choose from the available variables.",95.0
2025/01/09 5:05:47 pm CET,Master's or equivalent,Student,Mathematics and Computer Science,7,5,SQL;Mongo Query Language,4,5,1,5,1,4,1,4,1,5,1,5.0,3,5,3,4,3,,It would be nice to have a feature that allows you to have different data sources. For instance you could also add shapefile support as a data source. ,95.0
2025/01/11 6:41:24 pm CET,Bachelor's or equivalent,Student,"Arts, Media, Philosophy",0,1,,1,2,1,4,2,4,1,5,1,3,1,3.0,1,5,1,1,1,,,80.0
2025/01/13 1:16:41 pm CET,Master's or equivalent,Student,Mathematics and Computer Science,10,4,SQL;Mongo Query Language;Cypher,2,5,1,4,1,4,1,4,1,4,1,5.0,2,5,4,4,4,"There were no problems at all occurring when working with the prototype.
","I liked working with the data while looking at the map. 
I missed that setting the threshold was only possible by modifying the original query for exampling. It would be great if this would be presented in a ""natural"" way for less experienced database users. So, a user had more access and possibilities without using a query language. ",90.0
2025/01/13 4:38:09 pm CET,PhD or equivalent,Student,Mathematics and Computer Science,11,5,SQL;Mongo Query Language;Cypher,1,4,2,4,1,4,1,4,1,4,1,5.0,5,5,5,5,5,,,85.0
2025/01/13 9:17:49 pm CET,Bachelor's or equivalent,Student,"Arts, Media, Philosophy",0,1,,1,1,1,4,2,5,1,4,1,5,1,5.0,1,4,1,3,1,,,82.5
2025/01/16 11:35:46 am CET,Master's or equivalent,DevOpsEngineer,"Not working at the university, but studied Computer Sience at UniBas",8,3,SQL;Mongo Query Language;Cypher,1,3,1,4,1,4,2,3,2,3,1,5.0,2,5,4,5,3,"If you go to Graphical Querying and execute a query there it shows the answer and it is also possible to click on the map icon, however as soon as it switches to the map view, it does not show anything.",,75.0
2025/01/17 8:38:08 pm CET,Bachelor's or equivalent,Student,"Arts, Media, Philosophy",1,1,,1,5,2,4,1,5,2,5,3,3,3,4.0,2,3,1,1,1,Zoom didn't work properly. Instructions for the Task 1 prototype were unclear in regards of what point locations are suggets to be wrong.,Reels,77.5
